SGD.id	SYMBOL	SYSTEMATIC.name	ABUNDANCE.value	ABUNDANCE.units
S000000037	Cyc3p	YAL039C	2357.0	molecules/cell
S000000038	Cln3p	YAL040C	873.0	molecules/cell
S000000039	Cdc24p	YAL041W	3501.0	molecules/cell
S000000040	Erv46p	YAL042W	5095.0	molecules/cell
S000000041	Pta1p	YAL043C	2822.0	molecules/cell
S000000042	Gcv3p	YAL044C	14067.0	molecules/cell
S000000043	Yal045Cp	YAL045C	""	""
S000000044	Bol3p	YAL046C	1951.0	molecules/cell
S000000045	Spc72p	YAL047C	1185.0	molecules/cell
S000000046	Gem1p	YAL048C	1285.0	molecules/cell
S000000047	Aim2p	YAL049C	5934.0	molecules/cell
S000000048	Oaf1p	YAL051W	744.0	molecules/cell
S000000049	Flc2p	YAL053W	1797.0	molecules/cell
S000000050	Acs1p	YAL054C	4496.0	molecules/cell
S000000051	Pex22p	YAL055W	1391.0	molecules/cell
S000000052	Gpb2p	YAL056W	782.0	molecules/cell
S000000054	Cne1p	YAL058W	1135.0	molecules/cell
S000000055	Ecm1p	YAL059W	4041.0	molecules/cell
S000000056	Bdh1p	YAL060W	10791.0	molecules/cell
S000000057	Bdh2p	YAL061W	2411.0	molecules/cell
S000000058	Gdh3p	YAL062W	2854.0	molecules/cell
S000000059	Flo9p	YAL063C	""	""
S000000060	Yal064Wp	YAL064W	""	molecules/cell
S000000061	Yal066Wp	YAL066W	""	""
S000000062	Seo1p	YAL067C	1021.0	molecules/cell
S000000063	Nup60p	YAR002W	4865.0	molecules/cell
S000000064	Swd1p	YAR003W	1114.0	molecules/cell
S000000065	Rfa1p	YAR007C	7948.0	molecules/cell
S000000066	Sen34p	YAR008W	1704.0	molecules/cell
S000000067	Yar009Cp	YAR009C	""	""
S000000068	Yar010Cp	YAR010C	""	""
S000000069	Bud14p	YAR014C	3621.0	molecules/cell
S000000070	Ade1p	YAR015W	17237.0	molecules/cell
S000000071	Kin3p	YAR018C	856.0	molecules/cell
S000000072	Cdc15p	YAR019C	1225.0	molecules/cell
S000000073	Pau7p	YAR020C	""	""
S000000074	Dfp1p	YAR023C	1168.0	molecules/cell
S000000075	Uip3p	YAR027W	1690.0	molecules/cell
S000000076	Ktd1p	YAR028W	1641.0	molecules/cell
S000000077	Dfp2p	YAR029W	""	""
S000000078	Prm9p	YAR031W	1049.0	molecules/cell
S000000079	Mst28p	YAR033W	1401.0	molecules/cell
S000000080	Yat1p	YAR035W	1047.0	molecules/cell
S000000081	Swh1p	YAR042W	4819.0	molecules/cell
S000000083	Yar047Cp	YAR047C	""	""
S000000084	Flo1p	YAR050W	16097.0	molecules/cell
S000000085	Yar053Wp	YAR053W	""	""
S000000086	Yar060Cp	YAR060C	""	""
S000000087	Yar061Wp	YAR061W	""	""
S000000089	Yar064Wp	YAR064W	1520.0	molecules/cell
S000000091	Yar068Wp	YAR068W	""	""
S000000092	Yar069Cp	YAR069C	""	""
S000000093	Yar070Cp	YAR070C	""	""
S000000094	Pho11p	YAR071W	5920.0	molecules/cell
S000000095	Imd1p	YAR073W	""	""
S000000097	Ecm15p	YBL001C	4609.0	molecules/cell
S000000098	Htb2p	YBL002W	101430.0	molecules/cell
S000000099	Hta2p	YBL003C	67315.0	molecules/cell
S000000100	Utp20p	YBL004W	3410.0	molecules/cell
S000000101	Pdr3p	YBL005W	225.0	molecules/cell
S000000102	Ldb7p	YBL006C	2261.0	molecules/cell
S000000103	Sla1p	YBL007C	8674.0	molecules/cell
S000000104	Hir1p	YBL008W	1109.0	molecules/cell
S000000105	Alk2p	YBL009W	541.0	molecules/cell
S000000106	Laa2p	YBL010C	1403.0	molecules/cell
S000000107	Sct1p	YBL011W	3095.0	molecules/cell
S000000108	Ybl012Cp	YBL012C	""	""
S000000109	Fmt1p	YBL013W	1137.0	molecules/cell
S000000110	Rrn6p	YBL014C	237.0	molecules/cell
S000000111	Ach1p	YBL015W	8509.0	molecules/cell
S000000112	Fus3p	YBL016W	4800.0	molecules/cell
S000000113	Pep1p	YBL017C	5979.0	molecules/cell
S000000114	Pop8p	YBL018C	2523.0	molecules/cell
S000000115	Apn2p	YBL019W	395.0	molecules/cell
