up:P39678	sce:YDL056W
up:Q07379	sce:YDL057W
up:P25386	sce:YDL058W
up:Q12223	sce:YDL059C
up:Q07381	sce:YDL060W
up:P41058	sce:YDL061C
up:Q07395	sce:YDL063C
up:P50623	sce:YDL064W
up:Q07418	sce:YDL065C
up:P21954	sce:YDL066W
up:P07255	sce:YDL067C
up:P14066	sce:YDL069C
up:Q07442	sce:YDL070W
up:Q07451	sce:YDL072C
up:Q07454	sce:YDL073W
up:Q07457	sce:YDL074C
up:P0C2H8	sce:YDL075W
up:Q07458	sce:YDL076C
up:Q07468	sce:YDL077C
up:P32419	sce:YDL078C
up:P50873	sce:YDL079C
up:Q07471	sce:YDL080C
up:P05318	sce:YDL081C
up:Q12690	sce:YDL082W
up:P0CX51	sce:YDL083C
up:P0CX52	sce:YDL083C
up:Q07478	sce:YDL084W
up:Q3E7B7	sce:YDL085C-A
up:Q07500	sce:YDL085W
up:Q07505	sce:YDL086W
up:Q07508	sce:YDL087C
up:Q05166	sce:YDL088C
up:Q12066	sce:YDL089W
up:P22007	sce:YDL090C
up:Q12229	sce:YDL091C
up:P38985	sce:YDL092W
up:P52867	sce:YDL093W
up:P33775	sce:YDL095W
up:Q12377	sce:YDL097C
up:Q12368	sce:YDL098C
up:Q12191	sce:YDL099W
up:Q12154	sce:YDL100C
up:P39009	sce:YDL101C
up:P15436	sce:YDL102W
up:P43123	sce:YDL103C
up:P43122	sce:YDL104C
up:P43124	sce:YDL105W
up:P07269	sce:YDL106C
up:P40990	sce:YDL107W
up:P06242	sce:YDL108W
up:Q12103	sce:YDL109C
up:Q12513	sce:YDL110C
up:Q12277	sce:YDL111C
up:Q07527	sce:YDL112W
up:Q07528	sce:YDL113C
up:Q07530	sce:YDL114W
up:Q07532	sce:YDL115C
up:P52891	sce:YDL116W
up:Q07533	sce:YDL117W
up:Q07534	sce:YDL119C
up:Q07540	sce:YDL120W
up:Q07541	sce:YDL121C
up:P25037	sce:YDL122W
up:Q07549	sce:YDL123W
up:Q07551	sce:YDL124W
up:Q04344	sce:YDL125C
up:P25694	sce:YDL126C
up:P25693	sce:YDL127W
up:Q99385	sce:YDL128W
up:Q07555	sce:YDL129W
up:P10622	sce:YDL130W
up:P01098	sce:YDL130W-A
up:Q12122	sce:YDL131W
up:Q12018	sce:YDL132W
up:P0CX86	sce:YDL133C-A
up:P0CX87	sce:YDL133C-A
up:Q12516	sce:YDL133W
up:P23594	sce:YDL134C
up:Q12434	sce:YDL135C
up:P0CX84	sce:YDL136W
up:P0CX85	sce:YDL136W
